iter	MultiClass
0	1.074627786
1	1.054604678
2	1.029947013
3	1.01113238
4	0.9942045166
5	0.9778966951
6	0.9591368196
7	0.9434420902
8	0.9304564968
9	0.9162993838
10	0.9039050527
11	0.891498067
12	0.8791829387
13	0.8660343993
14	0.8567565588
15	0.847448161
16	0.8368587519
17	0.8269660863
18	0.8171023294
19	0.8092854843
20	0.8014959621
21	0.7931160414
22	0.7856564413
23	0.7788342222
24	0.7733282944
25	0.7665304404
26	0.7601786107
27	0.7539799479
28	0.7474930281
29	0.74054996
30	0.7360635445
31	0.7306202366
32	0.7268307066
33	0.7212789789
34	0.7158232281
35	0.7104044837
36	0.7059780797
37	0.7026699367
38	0.6978519769
39	0.6944185807
40	0.6905620098
41	0.6875421422
42	0.68326899
43	0.6799487711
44	0.6759274189
45	0.6731830261
46	0.6691941275
47	0.6660688379
48	0.6631909634
49	0.660271906
50	0.6565780456
51	0.6541763938
52	0.6510493221
53	0.6482215054
54	0.6448912647
55	0.6426990193
56	0.6403996987
57	0.6377111085
58	0.6349072149
59	0.633223021
60	0.6308809037
61	0.6287608011
62	0.6270285228
63	0.6250494157
64	0.6232917956
65	0.6214002755
66	0.6194385451
67	0.6174256681
68	0.6158886997
69	0.6138953493
70	0.611974674
71	0.6103730107
72	0.6082254701
73	0.6064041505
74	0.6051771745
75	0.6028625323
76	0.6011961078
77	0.5999152634
78	0.5980158338
79	0.5965046888
80	0.5946902202
81	0.5924344942
82	0.5910350493
83	0.5898336586
84	0.5883112888
85	0.5866158168
86	0.5856684079
87	0.5840396708
88	0.5831407509
89	0.5818851891
90	0.5809894857
91	0.5796729539
92	0.5779321371
93	0.5766771507
94	0.5751018035
95	0.5741653793
96	0.5727300009
97	0.5711559009
98	0.5698455205
99	0.5680971821
100	0.5667972877
101	0.5653491767
102	0.5639713223
103	0.5632849826
104	0.5627156932
105	0.562010635
106	0.5609171857
107	0.5599561044
108	0.5585282727
109	0.55756151
110	0.5565122185
111	0.5551644271
112	0.5542781847
113	0.5533841657
114	0.5524453712
115	0.5515720696
116	0.5503438018
117	0.5491867115
118	0.5476654666
119	0.546866112
120	0.5453428329
121	0.5441622742
122	0.5435078828
123	0.5422368561
124	0.540891464
125	0.5399172754
126	0.5391358369
127	0.5383783059
128	0.5375905067
129	0.5368216161
130	0.5355410244
131	0.5344230774
132	0.5332918362
133	0.5322550791
134	0.5315013625
135	0.5308742987
136	0.5302227644
137	0.5287525227
138	0.5284060884
139	0.5273005688
140	0.5264506005
141	0.5256555029
142	0.5245310872
143	0.523859649
144	0.5224342665
145	0.5215272647
146	0.520435662
147	0.5198248737
148	0.5192413343
149	0.5183809188
150	0.5173004688
151	0.516477972
152	0.515624226
153	0.5139637675
154	0.5131609557
155	0.5125016645
156	0.511324245
157	0.510686213
158	0.5099289779
159	0.5090078534
160	0.5079107445
161	0.5070362472
162	0.5059017874
163	0.5049960497
164	0.5041281909
165	0.5029945771
166	0.5017276305
167	0.5008822654
168	0.4994003655
169	0.498780974
170	0.4979919786
171	0.4972050231
172	0.4962762358
173	0.4954253021
174	0.4950482781
175	0.4944841772
176	0.4936448815
177	0.4931500156
178	0.4920491774
179	0.4912174668
180	0.490672072
181	0.489881883
182	0.4891234078
183	0.4884678001
184	0.4877354845
185	0.4871706138
186	0.4862159835
187	0.4850738772
188	0.4845567375
189	0.483980168
190	0.4835098755
191	0.4822152228
192	0.4812323728
193	0.480642601
194	0.4793947314
195	0.4782326271
196	0.477801951
197	0.4766283621
198	0.4756856733
199	0.4748669692
200	0.4743066548
201	0.4735028648
202	0.4726959598
203	0.4717677442
204	0.4710360266
205	0.4702315117
206	0.4696044421
207	0.468442287
208	0.4673790636
209	0.4665494278
210	0.4659656067
211	0.4647861641
212	0.4640391577
213	0.4635000091
214	0.4621744122
215	0.4614034073
216	0.4605867857
217	0.459865396
218	0.4591298666
219	0.4583196823
220	0.4576220867
221	0.4573236133
222	0.456532892
223	0.4559987209
224	0.455184183
225	0.4546238692
226	0.4540946555
227	0.4533101498
228	0.4525771836
229	0.4518440413
230	0.4511978374
231	0.4503398797
232	0.4492316034
233	0.4485534519
234	0.4476541872
235	0.4468312563
236	0.446362929
237	0.4458657004
238	0.4455397567
239	0.4447484367
240	0.444339262
241	0.4433760335
242	0.4429830189
243	0.4418734577
244	0.4411149945
245	0.4406604654
246	0.440162858
247	0.439468141
248	0.4388227223
249	0.4381367983
250	0.4375751828
251	0.4369358495
252	0.4364471483
253	0.4360223525
254	0.4353588825
255	0.4346427297
256	0.4341665047
257	0.4335309041
258	0.4327720377
259	0.4318717837
260	0.4314959342
261	0.4309329556
262	0.4300680711
263	0.4293004306
264	0.4285107985
265	0.4280242937
266	0.4275835418
267	0.4270064646
268	0.4265710668
269	0.4259477423
270	0.4254337057
271	0.4247343591
272	0.4238938142
273	0.4232025853
274	0.4225866738
275	0.4222622103
276	0.4218012185
277	0.4211478177
278	0.4205937014
279	0.4205061993
280	0.4201469422
281	0.4194312802
282	0.4191519954
283	0.4186516387
284	0.4181257688
285	0.4170471514
286	0.4165301876
287	0.416053545
288	0.4155201048
289	0.4150217742
290	0.4145027087
291	0.4140397637
292	0.413680262
293	0.4134178193
294	0.4129236468
295	0.41231371
296	0.4118163697
297	0.4112589242
298	0.4109308439
299	0.4104563296
300	0.4101545912
301	0.4094823687
302	0.4088689392
303	0.4085458928
304	0.4080956439
305	0.4078013671
306	0.4072460272
307	0.4067994229
308	0.4063277941
309	0.4058553995
310	0.4050630504
311	0.4042856448
312	0.4037643157
313	0.4034721042
314	0.4027810392
315	0.4024149879
316	0.4016883291
317	0.401256785
318	0.4008877214
319	0.4004491821
320	0.3998980771
321	0.3994900424
322	0.399067141
323	0.3985244083
324	0.3980484042
325	0.3975697255
326	0.3971991047
327	0.3966887085
328	0.3962604871
329	0.3958655461
330	0.3956273848
331	0.3948587851
332	0.3941129599
333	0.3937954452
334	0.3931038578
335	0.392864288
336	0.3926342261
337	0.3918956967
338	0.39142732
339	0.3910803774
340	0.3907191954
341	0.3903758409
342	0.3900605158
343	0.3893577572
344	0.3889354136
345	0.3884440089
346	0.3880383213
347	0.3876814897
348	0.3874275213
349	0.387017329
350	0.3867193756
351	0.3862170768
352	0.3856162527
353	0.3850148125
354	0.3846520438
355	0.3843265688
356	0.3841344858
357	0.3837674228
358	0.3834575371
359	0.3832853402
360	0.3830096814
361	0.3825963017
362	0.3823547281
363	0.3819022132
364	0.3814397355
365	0.3811841886
366	0.3807251987
367	0.3803895169
368	0.3800192987
369	0.3796713264
370	0.3792420965
371	0.3788751856
372	0.3784651633
373	0.3781761019
374	0.377794954
375	0.377262807
376	0.3766867279
377	0.3761380419
378	0.3756931354
379	0.3754247262
380	0.374879812
381	0.3744373784
382	0.3741515655
383	0.3736195732
384	0.373071161
385	0.3725523908
386	0.3720950854
387	0.3717673751
388	0.3713750036
389	0.3710338153
390	0.370558908
391	0.3701119789
392	0.3697317476
393	0.3693541465
394	0.3690222342
395	0.3686601178
396	0.3682920904
397	0.367947195
398	0.3676636313
399	0.3674767223
400	0.3669884669
401	0.3666955226
402	0.3664109649
403	0.3660505664
404	0.365829758
405	0.365667765
406	0.3651921843
407	0.364741375
408	0.3640539561
409	0.363701276
410	0.3630443105
411	0.3625493885
412	0.3619014042
413	0.3615861865
414	0.361321284
415	0.3609875598
416	0.3605953825
417	0.3602338203
418	0.3595976709
419	0.3592965292
420	0.3588875366
421	0.3585944855
422	0.3582896374
423	0.3577771618
424	0.3573511115
425	0.3569989004
426	0.3567942088
427	0.3564396563
428	0.3561959559
429	0.3559132472
430	0.3555053606
431	0.3550601736
432	0.3547765918
433	0.3542357956
434	0.3539774316
435	0.3536629331
436	0.3534716738
437	0.3532066564
438	0.3528827196
439	0.3526401295
440	0.3522511842
441	0.3519724022
442	0.3516562639
443	0.3511476198
444	0.3509554068
445	0.3503189111
446	0.350095837
447	0.3497961753
448	0.3495520878
449	0.3492556026
450	0.3488169719
451	0.3485692274
452	0.3483107
453	0.3479040912
454	0.3475062847
455	0.3471537904
456	0.3468768106
457	0.3466321565
458	0.3464380453
459	0.3459999151
460	0.3457045544
461	0.3455524826
462	0.3452281954
463	0.3450375672
464	0.3448391497
465	0.3445087843
466	0.3442693731
467	0.3440363468
468	0.3439360466
469	0.3437403288
470	0.3434351015
471	0.3431215481
472	0.3426480683
473	0.3425026275
474	0.3422292236
475	0.3418661031
476	0.3415420744
477	0.3412201598
478	0.34089062
479	0.3406408303
480	0.340345366
481	0.3401155247
482	0.3399425006
483	0.3396280938
484	0.3393631857
485	0.339173516
486	0.3389409924
487	0.3386134149
488	0.338373866
489	0.3381119477
490	0.3377911424
491	0.3374906063
492	0.3372617767
493	0.3368947079
494	0.3365910436
495	0.3364014935
496	0.3360730363
497	0.3357755459
498	0.3355169168
499	0.3351651059
500	0.3349304356
501	0.3346454038
502	0.3341360689
503	0.3339981241
504	0.3337052965
505	0.33340996
506	0.3331686413
507	0.3329757969
508	0.3325678302
509	0.3323697067
510	0.3320334326
511	0.3317067497
512	0.3314451991
513	0.3312179936
514	0.33088916
515	0.3306849339
516	0.3303781805
517	0.3301656435
518	0.3299919976
519	0.3296756661
520	0.3294922251
521	0.329289053
522	0.3291374367
523	0.3289190802
524	0.3286562591
525	0.3284340085
526	0.3282631598
527	0.3279376387
528	0.3276784962
529	0.3274317533
530	0.3273219678
531	0.3269702616
532	0.3266547055
533	0.3263227381
534	0.3260645922
535	0.3256750205
536	0.3253384277
537	0.3250917559
538	0.3248008087
539	0.3246986001
540	0.3245084264
541	0.3243459729
542	0.3240936624
543	0.3238898386
544	0.3236455364
545	0.3234281457
546	0.3232307137
547	0.3229947734
548	0.3226938621
549	0.3224330927
550	0.3222037996
551	0.3220104146
552	0.3217634924
553	0.3215702571
554	0.3213350646
555	0.3211397472
556	0.3209361407
557	0.3206707101
558	0.3204787586
559	0.3201619796
560	0.319816218
561	0.3196731761
562	0.3194198328
563	0.3192461935
564	0.3190584161
565	0.3188349838
566	0.3186313637
567	0.3184588416
568	0.3180672552
569	0.3178356403
570	0.3175127282
571	0.3172526971
572	0.3170386406
573	0.3167888761
574	0.3164433599
575	0.3162566405
576	0.3160344873
577	0.3158309264
578	0.315678786
579	0.3154263346
580	0.3151828283
581	0.3149484226
582	0.3147403643
583	0.3145581104
584	0.3142772546
585	0.3138634035
586	0.3135092096
587	0.3131914207
588	0.312911144
589	0.3127156331
590	0.3124676508
591	0.3122197594
592	0.3117576704
593	0.3115147673
594	0.3112699245
595	0.3111160093
596	0.3108816376
597	0.3104719378
598	0.3101903374
599	0.3099374586
600	0.309676792
601	0.3094683632
602	0.3093267676
603	0.3091925707
604	0.3089234752
605	0.3084755282
606	0.3083179983
607	0.3081078352
608	0.3079493429
609	0.3078042017
610	0.3075913044
611	0.3073888238
612	0.30720647
613	0.3070490586
614	0.3067389494
615	0.3065599479
616	0.3063253032
617	0.305929939
618	0.305775798
619	0.305628119
620	0.3054575632
621	0.3051770745
622	0.3049129426
623	0.3047488791
624	0.304528169
625	0.3042878056
626	0.3040345264
627	0.3039468409
628	0.3037745157
629	0.3036342961
630	0.3035006594
631	0.3032440173
632	0.3029417547
633	0.3027521295
634	0.3026055742
635	0.3023610206
636	0.3020936955
637	0.3019763975
638	0.3017698091
639	0.3016648087
640	0.3015016439
641	0.301370896
642	0.3011408107
643	0.3009459855
644	0.3007838112
645	0.3005626207
646	0.3002603981
647	0.3000206879
648	0.2998560454
649	0.29952722
650	0.299389272
651	0.2991781196
652	0.2989354144
653	0.2988486655
654	0.2986226905
655	0.2984855138
656	0.2981883984
657	0.2980585797
658	0.2977657303
659	0.2975683955
660	0.297364948
661	0.2971675779
662	0.2969613972
663	0.2967131924
664	0.2965131672
665	0.2963851479
666	0.2962745806
667	0.2960926898
668	0.2958872962
669	0.2957397329
670	0.295507656
671	0.2953929981
672	0.29519458
673	0.2949413415
674	0.2948497588
675	0.2946903375
676	0.2944717664
677	0.2943273267
678	0.2942008824
679	0.2940982899
680	0.2938567401
681	0.2936780453
682	0.2934343639
683	0.2931860606
684	0.2930290192
685	0.2927782792
686	0.2926774786
687	0.2925219718
688	0.2923468399
689	0.292219668
690	0.2921387173
691	0.2920521799
692	0.2919286528
693	0.2918412735
694	0.2916971659
695	0.2914701312
696	0.291333367
697	0.2912122263
698	0.291024924
699	0.290860193
700	0.2905945499
701	0.2904904438
702	0.2902948998
703	0.2901372301
704	0.2900307345
705	0.2899007955
706	0.2897294959
707	0.2895645388
708	0.2893927355
709	0.2892686467
710	0.2890609453
711	0.288780371
712	0.2885658455
713	0.288346235
714	0.2882092438
715	0.2880209243
716	0.2878641105
717	0.2876326321
718	0.28747639
719	0.2872966556
720	0.2871665645
721	0.2870905112
722	0.2869607279
723	0.2867999865
724	0.2865471444
725	0.2863749339
726	0.2861509258
727	0.2859659299
728	0.2858270849
729	0.2855223074
730	0.2853383369
731	0.2851345602
732	0.2850124153
733	0.2848157482
734	0.2846996969
735	0.2845323898
736	0.2843506481
737	0.2842256902
738	0.2841103245
739	0.2839332714
740	0.2837807611
741	0.283582442
742	0.2834462072
743	0.283314219
744	0.283110522
745	0.2828901889
746	0.2826818634
747	0.2824604966
748	0.2822946131
749	0.2821456139
750	0.2819713837
751	0.2818106196
752	0.2816569544
753	0.2815205663
754	0.2813636158
755	0.2811871761
756	0.2810335293
757	0.2808342259
758	0.2806815227
759	0.2805422769
760	0.2803563914
761	0.280117778
762	0.2798133614
763	0.2796076783
764	0.2794375288
765	0.279240902
766	0.2790446606
767	0.2789112618
768	0.278735027
769	0.2785831484
770	0.2784755575
771	0.2783251716
772	0.2781955398
773	0.2780863029
774	0.2778019556
775	0.2776227819
776	0.2774424362
777	0.2772748997
778	0.2770872082
779	0.276997339
780	0.276911697
781	0.2768150572
782	0.2767063052
783	0.2766118783
784	0.2764569983
785	0.2761817482
786	0.2760417739
787	0.2759125962
788	0.2758633493
789	0.2757239483
790	0.275569914
791	0.275435981
792	0.2752265986
